Scenario,Rooms,Customers,NumberOfItems,MaxItemsPolicy,AverageItems,AverageUseMinutes,AverageWaitMinutes,StartTime,EndTime,ElapsedSeconds
scenario02,2,30,0,6,3.43,7.03,50.06,2025-09-09T18:13:33.8572344-07:00,2025-09-09T18:13:45.3264218-07:00,11.469

CustomerId,ItemCount,WaitTimeMinutes,UseTimeMinutes,RealUseMs
1,2,0.00,3.00,316
2,6,0.00,14.00,1455
3,3,3.08,4.00,423
4,1,7.30,2.00,200
5,3,9.29,6.00,623
6,6,15.50,14.00,1468
7,5,14.42,13.00,1342
8,5,27.83,10.00,1045
9,1,30.15,2.00,202
10,2,32.15,4.00,413
11,3,36.29,5.00,523
12,4,38.20,8.00,828
13,3,41.48,9.00,935
14,2,46.38,5.00,514
15,5,50.73,11.00,1156
16,2,51.50,6.00,623
17,1,57.73,3.00,310
18,4,60.83,11.00,1128
19,4,62.21,5.00,530
20,3,67.49,8.00,836
21,1,72.04,1.00,105
22,4,73.09,7.00,734
23,3,75.80,4.00,413
24,3,79.92,5.00,522
25,4,80.37,7.00,733
26,6,85.12,10.00,1063
27,3,87.66,7.00,727
28,5,94.92,9.00,961
29,5,95.70,9.00,943
30,4,104.50,9.00,934
