Scenario,Rooms,Customers,NumberOfItems,MaxItemsPolicy,AverageItems,AverageUseMinutes,AverageWaitMinutes,StartTime,EndTime,ElapsedSeconds
scenario01,3,20,0,6,2.80,5.10,15.56,2025-09-09T18:13:29.9968689-07:00,2025-09-09T18:13:33.8532769-07:00,3.856

CustomerId,ItemCount,WaitTimeMinutes,UseTimeMinutes,RealUseMs
1,3,0.02,8.00,827
2,3,0.02,4.00,431
3,3,1.11,5.00,524
4,1,0.02,1.00,108
5,5,4.32,9.00,935
6,3,6.31,5.00,530
7,4,8.22,11.00,1123
8,5,11.56,7.00,754
9,2,13.57,6.00,624
10,1,19.07,2.00,214
11,1,19.38,1.00,102
12,5,19.77,7.00,749
13,1,20.36,1.00,110
14,2,21.12,3.00,311
15,4,21.42,9.00,936
16,3,24.21,6.00,623
17,3,27.15,5.00,530
18,2,30.41,2.00,237
19,4,30.68,7.00,733
20,1,32.40,3.00,300
